time,contract,open,high,low,close,volume,delta
2009-07-29,200908,7099,7132,7021,7037,86736,0
2009-07-30,200908,7025,7043,6870,6963,103155,0
2009-07-31,200908,7009,7083,6955,7028,94020,0
2009-08-03,200908,7024,7028,6907,6982,92249,0
2009-08-04,200908,7056,7070,6821,6881,121426,0
2009-08-05,200908,6882,6948,6749,6772,115712,0
2009-08-06,200908,6799,6833,6702,6803,116053,0
2009-08-10,200908,6820,6854,6733,6814,86706,0
2009-08-11,200908,6818,6895,6755,6895,88732,0
2009-08-12,200908,6849,6898,6815,6839,83259,0
2009-08-13,200908,6865,7031,6862,7013,101571,0
2009-08-14,200908,7049,7112,7020,7063,79246,0
2009-08-17,200908,7010,7034,6899,6914,92293,0
2009-08-18,200908,6900,6908,6723,6817,114520,0
2009-08-19,200908,6824,6844,6786,6795,46194,-65
2009-08-20,200909,6722,6733,6590,6693,107256,0
2009-08-21,200909,6700,6770,6553,6592,121630,0
2009-08-24,200909,6754,6835,6711,6808,96035,0
2009-08-25,200909,6798,6827,6742,6760,92967,0
2009-08-26,200909,6785,6802,6616,6703,129055,0
2009-08-27,200909,6673,6727,6610,6645,108006,0
2009-08-28,200909,6677,6810,6656,6754,108814,0
2009-08-31,200909,6765,6808,6701,6756,95984,0
2009-09-01,200909,6757,7034,6736,7027,126460,0
2009-09-02,200909,6951,7049,6937,7026,107506,0
2009-09-03,200909,7020,7123,6979,7094,112514,0
2009-09-04,200909,7121,7169,7071,7155,97161,0
2009-09-07,200909,7186,7227,7145,7221,81652,0
2009-09-08,200909,7250,7367,7181,7316,124683,0
2009-09-09,200909,7316,7344,7248,7257,86344,0
2009-09-10,200909,7334,7758,7285,7360,161675,0
2009-09-11,200909,7329,7370,7291,7353,68075,0
2009-09-14,200909,7307,7344,7204,7252,96094,0
2009-09-15,200909,7289,7385,7253,7357,81016,0
2009-09-16,200909,7428,7460,7375,7444,57214,0
2009-09-17,200910,7500,7517,7436,7466,98875,0
2009-09-18,200910,7441,7502,7408,7467,73544,0
2009-09-21,200910,7481,7556,7398,7466,93322,0
2009-09-22,200910,7484,7506,7425,7454,67441,0
2009-09-23,200910,7460,7520,7311,7347,122536,0
2009-09-24,200910,7364,7375,7235,7295,99592,0
2009-09-25,200910,7250,7340,7235,7338,79541,0
2009-09-28,200910,7276,7327,7215,7280,81687,0
2009-09-29,200910,7330,7431,7328,7405,88224,0
2009-09-30,200910,7427,7515,7411,7493,86950,0
2009-10-01,200910,7538,7614,7455,7538,97532,0
2009-10-02,200910,7418,7450,7344,7352,89070,0
2009-10-05,200910,7358,7398,7326,7392,68716,0
2009-10-06,200910,7428,7538,7395,7506,104530,0
2009-10-07,200910,7587,7609,7530,7589,79137,0
2009-10-08,200910,7590,7627,7448,7481,99718,0
2009-10-09,200910,7508,7565,7464,7552,86346,0
2009-10-12,200910,7565,7594,7492,7576,83741,0
2009-10-13,200910,7509,7596,7276,7561,114705,0
2009-10-14,200910,7599,7701,7591,7699,79859,0
2009-10-15,200910,7774,7786,7690,7710,96311,0
2009-10-16,200910,7710,7732,7667,7694,74982,0
2009-10-19,200910,7649,7762,7625,7753,69653,0
2009-10-20,200910,7792,7800,7731,7752,64903,0
2009-10-21,200910,7743,7758,7660,7706,57875,-36
2009-10-22,200911,7609,7669,7524,7573,109964,0
2009-10-23,200911,7594,7632,7571,7596,62722,0
2009-10-26,200911,7619,7765,7611,7643,83589,0
2009-10-27,200911,7609,7647,7537,7644,89971,0
2009-10-28,200911,7602,7650,7502,7508,115836,0
2009-10-29,200911,7360,7404,7205,7322,126751,0
2009-10-30,200911,7375,7392,7278,7285,83195,0
2009-11-02,200911,7150,7295,7135,7278,90971,0
2009-11-03,200911,7278,7320,7253,7274,72348,0
2009-11-04,200911,7315,7443,7308,7439,87645,0
2009-11-05,200911,7409,7460,7375,7409,84432,0
2009-11-06,200911,7502,7524,7440,7478,74984,0
2009-11-09,200911,7540,7576,7505,7549,73346,0
2009-11-10,200911,7630,7639,7572,7589,62795,0
2009-11-11,200911,7615,7683,7551,7681,99810,0
2009-11-12,200911,7695,7711,7665,7686,65616,0
2009-11-13,200911,7660,7719,7627,7672,74330,0
2009-11-16,200911,7688,7808,7676,7806,80023,0
2009-11-17,200911,7989,7997,7730,7735,117076,0
2009-11-18,200911,7788,7803,7750,7787,41229,-47
2009-11-19,200912,7756,7788,7700,7700,78984,0
2009-11-20,200912,7672,7709,7606,7672,92047,0
2009-11-23,200912,7660,7694,7636,7691,49684,0
2009-11-24,200912,7693,7719,7677,7700,50148,0
2009-11-25,200912,7695,7785,7686,7776,80979,0
2009-11-26,200912,7774,7825,7732,7743,75172,0
2009-11-27,200912,7625,7630,7436,7440,109038,0
2009-11-30,200912,7558,7592,7540,7557,59745,0
2009-12-01,200912,7570,7670,7512,7639,90233,0
2009-12-02,200912,7675,7721,7655,7689,73148,0
2009-12-03,200912,7740,7757,7640,7697,80095,0
2009-12-04,200912,7677,7710,7590,7592,69089,0
2009-12-07,200912,7649,7782,7616,7754,88360,0
2009-12-08,200912,7750,7774,7710,7757,71858,0
2009-12-09,200912,7719,7794,7706,7793,64917,0
2009-12-10,200912,7799,7807,7590,7639,126777,0
2009-12-11,200912,7657,7793,7642,7792,93626,0
2009-12-14,200912,7789,7845,7735,7831,95664,0
2009-12-15,200912,7840,7849,7781,7799,66481,0
2009-12-16,200912,7809,7817,7706,7753,62023,-51
2009-12-17,201001,7713,7798,7666,7691,106259,0
2009-12-18,201001,7662,7713,7611,7701,77630,0
2009-12-21,201001,7701,7790,7701,7753,74432,0
2009-12-22,201001,7788,7834,7773,7831,67612,0
2009-12-23,201001,7844,7879,7818,7867,62324,0
2009-12-24,201001,7888,7974,7871,7953,78986,0
2009-12-25,201001,7960,7987,7945,7983,40328,0
2009-12-28,201001,7995,8078,7976,8045,73121,0
2009-12-29,201001,8033,8063,8022,8059,53904,0
2009-12-30,201001,8050,8115,8043,8091,59344,0
2009-12-31,201001,8106,8205,8105,8205,67186,0
2010-01-04,201001,8203,8211,8101,8166,83881,0
2010-01-05,201001,8212,8260,8125,8178,107583,0
2010-01-06,201001,8197,8336,8179,8320,119935,0
2010-01-07,201001,8335,8355,8230,8259,120490,0
2010-01-08,201001,8287,8297,8183,8278,104770,0
2010-01-11,201001,8278,8353,8251,8325,87481,0
2010-01-12,201001,8318,8337,8246,8308,99457,0
2010-01-13,201001,8259,8275,8191,8215,108400,0
2010-01-14,201001,8246,8328,8236,8301,80657,0
2010-01-15,201001,8310,8385,8307,8369,95385,0
2010-01-18,201001,8300,8383,8286,8353,75225,0
2010-01-19,201001,8370,8382,8230,8270,117690,0
2010-01-20,201001,8306,8312,8198,8215,66320,-7
2010-01-21,201002,8185,8213,8112,8134,117013,0
2010-01-22,201002,8019,8023,7884,7897,126735,0
2010-01-25,201002,7822,7912,7802,7852,87398,0
2010-01-26,201002,7832,7886,7520,7556,181759,0
2010-01-27,201002,7574,7633,7509,7534,116682,0
2010-01-28,201002,7579,7745,7555,7699,117323,0
2010-01-29,201002,7552,7633,7442,7580,148546,0
2010-02-01,201002,7569,7634,7442,7513,132793,0
2010-02-02,201002,7580,7603,7346,7371,143076,0
2010-02-03,201002,7456,7528,7390,7501,139575,0
2010-02-04,201002,7503,7538,7460,7507,89979,0
2010-02-05,201002,7300,7321,7130,7201,126660,0
2010-02-06,201002,7229,7236,7056,7155,102295,0
2010-02-08,201002,7155,7235,7125,7160,96417,0
2010-02-09,201002,7171,7344,7151,7316,111037,0
2010-02-10,201002,7350,7479,7345,7419,115820,0
2010-02-22,201002,7708,7708,7553,7558,48600,-32
2010-02-23,201003,7534,7552,7451,7535,90633,0
2010-02-24,201003,7468,7545,7458,7480,82236,0
2010-02-25,201003,7505,7522,7335,7368,123429,0
2010-02-26,201003,7378,7434,7341,7383,90934,0
2010-03-01,201003,7413,7605,7395,7575,118335,0
2010-03-02,201003,7595,7649,7569,7601,85729,0
2010-03-03,201003,7596,7664,7578,7611,90044,0
2010-03-04,201003,7622,7639,7463,7526,117125,0
2010-03-05,201003,7603,7692,7558,7659,117040,0
2010-03-08,201003,7729,7758,7686,7755,78000,0
2010-03-09,201003,7771,7774,7724,7764,56932,0
2010-03-10,201003,7771,7792,7703,7769,80460,0
2010-03-11,201003,7800,7808,7731,7757,84244,0
2010-03-12,201003,7785,7788,7711,7754,66037,0
2010-03-15,201003,7756,7758,7631,7655,107479,0
2010-03-16,201003,7651,7707,7642,7703,55280,0
2010-03-17,201003,7750,7844,7745,7842,61458,-24
2010-03-18,201004,7837,7922,7818,7850,93095,0
2010-03-19,201004,7850,7884,7826,7867,66433,0
2010-03-22,201004,7830,7840,7745,7802,92447,0
2010-03-23,201004,7850,7863,7756,7804,90504,0
2010-03-24,201004,7865,7876,7804,7815,83886,0
2010-03-25,201004,7792,7858,7716,7803,128715,0
2010-03-26,201004,7809,7917,7724,7886,137942,0
2010-03-29,201004,7912,7966,7885,7957,80045,0
2010-03-30,201004,7977,7991,7940,7961,62683,0
2010-03-31,201004,7946,7970,7895,7906,74509,0
2010-04-01,201004,7940,8041,7926,8025,95356,0
2010-04-02,201004,8024,8047,8015,8039,40125,0
2010-04-06,201004,8071,8142,8062,8096,86604,0
2010-04-07,201004,8125,8140,8095,8126,61074,0
2010-04-08,201004,8110,8170,8045,8081,127009,0
2010-04-09,201004,8077,8105,8046,8101,71116,0
2010-04-12,201004,8158,8168,8086,8126,79344,0
2010-04-13,201004,8086,8119,8013,8019,118201,0
2010-04-14,201004,8065,8114,8038,8112,79109,0
2010-04-15,201004,8153,8196,8130,8158,82562,0
2010-04-16,201004,8147,8155,8070,8102,97054,0
2010-04-19,201004,8002,8033,7821,7822,129486,0
2010-04-20,201004,7880,7911,7825,7876,87151,0
2010-04-21,201004,7950,7998,7923,7980,73925,-21
2010-04-22,201005,7905,7953,7843,7925,116021,0
2010-04-23,201005,7951,7983,7937,7958,79082,0
2010-04-26,201005,8077,8162,8070,8148,87108,0
2010-04-27,201005,8148,8152,8109,8130,60526,0
2010-04-28,201005,7961,8059,7920,8035,116367,0
2010-04-29,201005,8036,8065,8011,8043,70043,0
2010-04-30,201005,8128,8152,7966,7989,131394,0
2010-05-03,201005,7925,8001,7876,7931,116231,0
